Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
268,13.0,8.0,1514.0,6.7,-1562.2,-1746.7,-1256.9
269,12.7,7.7,1521.7,5.9,-1556.3,-1738.9,-1226.9
270,12.8,7.8,1529.5,4.8,-1547.8,-1731.6,-1201.4
271,12.7,7.7,1537.2,5.5,-1537.3,-1721.2,-1171.6
272,12.3,7.3,1544.6,6.9,-1526.0,-1712.1,-1148.7
273,12.3,7.3,1551.9,4.3,-1518.8,-1712.5,-1138.7
274,12.7,7.7,1559.6,3.6,-1513.7,-1716.4,-1130.4
275,12.2,7.2,1566.8,3.2,-1507.3,-1720.1,-1132.6
276,12.4,7.4,1574.2,5.2,-1499.2,-1723.4,-1124.3
277,12.8,7.8,1581.9,2.6,-1496.1,-1728.6,-1111.3
278,12.5,7.5,1589.5,4.9,-1488.1,-1732.7,-1098.2
279,12.3,7.3,1596.8,3.8,-1481.6,-1729.4,-1069.6
280,12.6,7.6,1604.4,4.7,-1476.2,-1719.1,-1044.4
281,12.1,7.1,1611.6,5.5,-1467.9,-1716.6,-1046.6
282,12.2,7.2,1618.9,4.9,-1460.6,-1714.2,-1038.5
283,12.2,7.2,1626.0,5.1,-1451.5,-1719.9,-1029.1
284,11.5,6.5,1632.4,3.9,-1442.0,-1721.1,-1023.1
285,11.4,6.4,1638.9,5.1,-1433.6,-1727.6,-1017.1
286,11.3,6.3,1645.2,4.5,-1424.2,-1711.1,-1002.7
287,10.9,5.9,1651.1,5.9,-1414.1,-1697.0,-990.6
288,11.0,6.0,1657.0,3.9,-1407.1,-1663.2,-981.6
289,10.7,5.7,1662.7,5.3,-1395.6,-1655.1,-986.9
290,10.6,5.6,1668.4,4.9,-1384.3,-1648.9,-968.6
291,10.8,5.8,1674.1,4.1,-1372.8,-1638.3,-936.2
292,11.3,6.3,1680.4,5.7,-1361.9,-1619.6,-916.9
293,10.9,5.9,1686.4,2.6,-1354.8,-1610.5,-898.5
294,10.8,5.8,1692.1,2.6,-1345.2,-1603.0,-880.2
295,10.7,5.7,1697.8,3.6,-1334.7,-1601.9,-866.4
296,10.3,5.3,1703.1,2.3,-1323.6,-1597.9,-848.0
297,10.3,5.3,1708.5,1.9,-1315.2,-1591.3,-850.1
298,10.3,5.3,1713.8,2.5,-1304.7,-1585.3,-845.7
299,10.5,5.5,1719.3,3.3,-1292.9,-1585.7,-843.7
300,10.2,5.2,1724.5,4.0,-1280.1,-1583.1,-828.0
301,10.1,5.1,1729.6,3.7,-1268.1,-1578.4,-819.2
302,9.9,4.9,1734.6,3.8,-1257.2,-1572.9,-815.9
303,9.7,4.7,1739.3,5.9,-1243.6,-1553.9,-798.4
304,10.2,5.2,1744.5,8.1,-1229.6,-1540.0,-806.2
305,10.1,5.1,1749.6,5.9,-1217.9,-1534.8,-817.0
