Baseline_1961_1990_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg,MoistureProxy60_min,MoistureProxy60_max
314,7.7,3.1,1992.4,1.2,-1276.5,-1501.3,-950.1
315,8.1,3.4,1995.9,1.7,-1263.5,-1489.9,-946.8
316,7.5,2.7,1998.4,0.7,-1253.4,-1477.7,-924.6
317,6.7,2.3,2000.6,2.8,-1238.4,-1464.9,-890.1
318,6.5,2.1,2002.7,2.2,-1222.4,-1453.6,-884.7
319,6.4,2.1,2004.9,1.3,-1206.6,-1442.7,-871.1
320,6.1,1.8,2006.7,1.9,-1189.7,-1427.5,-860.4
321,6.3,2.1,2008.8,2.8,-1172.3,-1423.2,-833.2
322,6.8,2.4,2011.1,2.4,-1156.6,-1419.6,-819.5
323,6.9,2.5,2013.7,2.4,-1142.2,-1417.1,-797.0
324,6.1,1.6,2015.3,3.0,-1126.0,-1400.7,-770.9
325,6.0,1.8,2017.1,1.7,-1109.6,-1386.8,-764.8
326,6.0,2.0,2019.1,1.2,-1094.2,-1377.6,-765.3
327,6.3,2.2,2021.3,1.4,-1078.6,-1365.1,-764.9
328,6.3,2.1,2023.5,1.4,-1066.2,-1354.8,-761.0
329,6.4,2.0,2025.5,0.9,-1053.5,-1339.2,-768.7
330,5.6,1.7,2027.1,1.7,-1037.7,-1326.0,-775.1
331,5.4,1.7,2028.8,1.5,-1021.9,-1299.4,-771.0
332,5.0,1.3,2030.1,2.3,-1006.8,-1273.2,-774.5
333,4.7,1.2,2031.3,1.9,-989.9,-1248.0,-770.7
334,4.7,1.5,2032.8,1.3,-974.1,-1216.2,-775.3
335,4.9,1.6,2034.3,2.5,-958.1,-1196.1,-779.6
336,5.5,1.7,2036.0,1.3,-944.8,-1177.2,-788.2
337,5.5,1.8,2037.9,1.3,-929.7,-1163.2,-774.7
338,5.5,1.5,2039.4,1.1,-915.0,-1149.8,-752.9
339,5.5,1.5,2040.9,1.6,-901.8,-1122.4,-744.7
340,5.0,1.2,2042.1,1.6,-886.3,-1095.8,-717.8
341,5.3,1.3,2043.3,3.0,-870.8,-1064.4,-696.4
342,4.9,1.3,2044.6,2.0,-856.5,-1043.9,-674.2
343,4.9,1.4,2046.0,3.5,-840.4,-1025.4,-659.8
344,4.8,1.4,2047.3,2.7,-824.4,-997.5,-650.4
